field,codeError,predicate,description
recordId,000001,isEmpty,Отсутствует обязательное recordId
recordId,000002,^\d{2}$,Обязательное поле recordId не соответствует установленному формату
clientSin,000003,isEmpty,Отсутствует обязательное clientSin
clientSin,000004,^\d{3}$,Обязательное поле clientSin не соответствует установленному формату
surname,000005,isEmpty,Отсутствует обязательное surname
surname,000006,"^[а-яёА-ЯЁ]{0,30}$",Обязательное поле surname не соответствует установленному формату
name,000007,isEmpty,Отсутствует обязательное name
name,000008,"^[а-яёА-ЯЁ]{0,30}$",Обязательное поле name не соответствует установленному формату
patronymic,000009,"^[а-яёА-ЯЁ]{0,30}$",Обязательное поле patronymic не соответствует установленному формату
birthDate,000010,isEmpty,Отсутствует обязательное birthDate
birthDate,000011,^\d{8}$,Обязательное поле birthDate не соответствует установленному формату
birthPlace,000012,"^[а-яёА-ЯЁ]{0,30}$",Обязательное поле birthPlace не соответствует установленному формату
primaryIdType,000013,isEmpty,Отсутствует обязательное primaryIdType
primaryIdType,000014,^\d{2}$,Обязательное поле primaryIdType не соответствует установленному формату
primaryIdNumber,000015,isEmpty,Отсутствует обязательное primaryIdNumber
primaryIdNumber,000016,^\d{10}$,Обязательное поле primaryIdNumber не соответствует установленному формату
deleteFlag,000017,isEmpty,Отсутствует обязательное deleteFlag
deleteFlag,000018,"^\d{0,1}$",Обязательное поле deleteFlag не соответствует установленному формату















